table_index,Qual.,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%,W,L,ERA,APP,GS,CG,SHO,SV,IP,ER,K-BB%,WHIP,FIP,xFIP,SIERA,LOB%
2,,Julia Sitterding,College of Charleston,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Jordan Smith,Western Michigan,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Angela Petrovitch,Central Michigan,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Maddie Erickson,Michigan,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Janelle Ilacqua,Michigan,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Lilly Vallimont,Michigan,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Avery Fantucci,Michigan,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Sophia Knock,Longwood,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Jocelyn Erickson,Florida,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Avery Hodge,LSU,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
